name,latitude,longitude
AL,32.377716,-86.300568
AK,58.301598,-134.420212
AZ,33.448143,-112.096962
AR,34.746613,-92.288986
CA,38.576668,-121.493629
CO,39.739227,-104.984856
CT,41.764046,-72.682198
DE,39.157307,-75.519722
HI,21.307442,-157.857376
FL,30.438118,-84.281296
GA,33.749027,-84.388229
ID,43.617775,-116.199722
IL,39.798363,-89.654961
IN,39.768623,-86.162643
IA,41.591087,-93.603729
KS,39.048191,-95.677956
KY,38.186722,-84.875374
LA,30.457069,-91.187393
ME,44.307167,-69.781693
MD,38.978764,-76.490936
MA,42.358162,-71.063698
MI,42.733635,-84.555328
MN,44.955097,-93.102211
MS,32.303848,-90.182106
MO,38.579201,-92.172935
MT,46.585709,-112.018417
NE,40.808075,-96.699654
NV,39.163914,-119.766121
NH,43.206898,-71.537994
NJ,40.220596,-74.769913
NM,35.68224,-105.939728
NC,35.78043,-78.639099
ND,46.82085,-100.783318
NY,42.652843,-73.757874
OH,39.961346,-82.999069
OK,35.492207,-97.503342
OR,44.938461,-123.030403
PA,40.264378,-76.883598
RI,41.830914,-71.414963
SC,34.000343,-81.033211
SD,44.367031,-100.346405
TN,36.16581,-86.784241
TX,30.27467,-97.740349
UT,40.777477,-111.888237
VT,44.262436,-72.580536
VA,37.538857,-77.43364
WA,47.035805,-122.905014
WV,38.336246,-81.612328
WI,43.074684,-89.384445
WY,41.140259,-104.820236